starting_price_time,starting_price,highest_price_time,highest_price,time_to_highest,percentage_change,token,token_name,signal_name
2024-07-27 14:22:00 UTC,9.029909469231498e-06,2024-07-27 16:07:00 UTC,0.0025226720020942012,0 days 01:45:00,27836.84710450255,https://birdeye.so/token/So11111111111111111111111111111111111111112/FRcfHLnB7JsFbTnhd4Gd93ZcimAy2x4N5CUVdNiaHhsb?chain=solana,Photon,a11
2024-07-27 17:12:00 UTC,134294.1304706474,2024-07-27 22:36:00 UTC,7834650.325438343,0 days 05:24:00,5733.948436898185,https://birdeye.so/token/So11111111111111111111111111111111111111112/8pXVwHT57VoUkXzrGs6S6myr2L26osyiP5sR9NrweAdq?chain=solana,Make Bitcoin Great Again,a11
2024-07-27 14:58:00 UTC,4591519.568826925,2024-07-27 23:57:00 UTC,53605288.68053462,0 days 08:59:00,1067.4847047255448,https://birdeye.so/token/So11111111111111111111111111111111111111112/7fcAYWd8KFJtC8yuRbfpmUwUC7NCEhm77LfEbkvZ2zBq?chain=solana,Cranky Cat Club,a2
2024-07-27 20:06:00 UTC,3044590.369446,2024-07-27 23:58:00 UTC,30613309.568981897,0 days 03:52:00,905.4984695544564,https://birdeye.so/token/So11111111111111111111111111111111111111112/JD92HnLJ47XvQCZGE19JUWZ4vojXzkLdLPDZwVmTP1cy?chain=solana,Trump Wif Bitcoin,a2
2024-07-27 13:22:00 UTC,2868590.7701776354,2024-07-27 23:51:00 UTC,24068700.515191372,0 days 10:29:00,739.0426674105535,https://birdeye.so/token/So11111111111111111111111111111111111111112/HVf5mxRpz8N33FPtXLMsFg435apgKFhRRgtXCJbnswSj?chain=solana,Ultimate Solana Degens Club,a2
2024-07-27 20:11:00 UTC,2.3633666833793433e-05,2024-07-27 20:28:00 UTC,0.0001941717108886956,0 days 00:17:00,721.5894395661545,https://birdeye.so/token/So11111111111111111111111111111111111111112/5aKCMMtr3cKeL4ZQoQGXr97L3QVF3zTfKR696NGwVTSq?chain=solana,Digital Gold,a7
2024-07-27 13:44:00 UTC,3768817.1922509503,2024-07-27 23:54:00 UTC,28873914.6409843,0 days 10:10:00,666.12669620463,https://birdeye.so/token/So11111111111111111111111111111111111111112/J7VaRDZ2Lgxbxj2cbnVJTsc3efKP4DFdk76kk66r2GnA?chain=solana,Richi,a10
2024-07-27 15:59:00 UTC,4152673.9952542223,2024-07-27 23:59:00 UTC,31124230.0576014,0 days 08:00:00,649.4985181396597,https://birdeye.so/token/So11111111111111111111111111111111111111112/8qsLpgz9a4MMYW5yS6hyuNXsrxdvg7NcevXkdVPvJM8F?chain=solana,Bitcoin Trump Conference,a2
2024-07-27 22:16:00 UTC,5.340186823632561e-07,2024-07-27 22:26:00 UTC,3.849158917903369e-06,0 days 00:10:00,620.7910593818985,https://birdeye.so/token/So11111111111111111111111111111111111111112/HN8R4GZWAYJc2F9agPJeweYqkYxLmgL7x6FfgK5cMj2F?chain=solana,bloop,a9
2024-07-27 08:43:00 UTC,3538955.32,2024-07-28 00:00:00 UTC,23431925.227884926,0 days 15:17:00,562.1141865075857,https://birdeye.so/token/So11111111111111111111111111111111111111112/HWADUbKsdg1g6ET3YkZai8sFED6V5VvJxtjj3moiBqDH?chain=solana,On Chain Demons,a2
2024-07-27 09:29:00 UTC,2998925.18521362,2024-07-27 23:54:00 UTC,19429920.52585242,0 days 14:25:00,547.8961403122961,https://birdeye.so/token/So11111111111111111111111111111111111111112/CDTyYCPDTNGFSTNJSjGYuHXUkcRaxH5Tycv6oaS6jEsa?chain=solana,zuka the dog,a2
2024-07-27 21:47:00 UTC,3423863.192198891,2024-07-27 22:34:00 UTC,21352425.61323638,0 days 00:47:00,523.6354788324154,https://birdeye.so/token/So11111111111111111111111111111111111111112/648Mcc12EkjsGaW68LuREXuvMeY8pr5SGwyFRU8GJPkP?chain=solana,American Bitcoin,a2
2024-07-27 13:06:00 UTC,2914372.7365425127,2024-07-27 23:53:00 UTC,17795582.913827244,0 days 10:47:00,510.614513740585,https://birdeye.so/token/So11111111111111111111111111111111111111112/87AiL4zgZFRHNntSLBEdj2yYwheYKdKk18ZvQYuJweWY?chain=solana,Gyatlatians,a8
2024-07-27 15:53:00 UTC,3272761.1394044347,2024-07-27 23:48:00 UTC,19304420.7726786,0 days 07:55:00,489.85119751793275,https://birdeye.so/token/So11111111111111111111111111111111111111112/6FEwHFwiAkg5JAsFx8R8vNFuNr4jdxUrimkEvY27qeEL?chain=solana,Believers for Trump,a2
2024-07-27 08:17:00 UTC,5477136.504633269,2024-07-27 20:11:00 UTC,30700680.799986407,0 days 11:54:00,460.52429538712073,https://birdeye.so/token/So11111111111111111111111111111111111111112/3HnDjvenUmgfNbk2DxR41rtsrn1ti3UGjEM417S3Cf2M?chain=solana,cooked,a8
2024-07-27 20:32:00 UTC,5202679.543341082,2024-07-27 22:19:00 UTC,27044414.39663892,0 days 01:47:00,419.81703219167343,https://birdeye.so/token/So11111111111111111111111111111111111111112/EVazd6jrmpKqPfKC7ghmdKiQhhPiZWfisJVej5mtsrAw?chain=solana,AMERICA FIRST,a4
2024-07-27 17:25:00 UTC,1385397.46843,2024-07-27 23:15:00 UTC,7055652.425000118,0 days 05:50:00,409.28723242117144,https://birdeye.so/token/So11111111111111111111111111111111111111112/6tDzPH2goD4UcxPDrP9G3D9d8JmkxZMUowcxRzHd5Wkv?chain=solana,Please Save Me Donald Trump,a9
2024-07-27 14:34:00 UTC,3257765.1157858595,2024-07-27 23:57:00 UTC,16573826.943059998,0 days 09:23:00,408.7483705547,https://birdeye.so/token/So11111111111111111111111111111111111111112/LNuCnD1pioGi9WVBVeMRH7YiRQ8dnjYoCqLj4xK5Kwb?chain=solana,Venus the Two Faced Cat,a2
2024-07-27 13:13:00 UTC,2.4674804138270503e-08,2024-07-27 14:36:00 UTC,1.1988088289902003e-07,0 days 01:23:00,385.843300831253,https://birdeye.so/token/So11111111111111111111111111111111111111112/7Yh9y45GyPMuqVQXFvyeJ45HsBywGwZgNw9Gc8k7nNeK?chain=solana,Ultra MAGA,a7
2024-07-27 15:52:00 UTC,7340832.997987928,2024-07-27 18:20:00 UTC,34594599.73047667,0 days 02:28:00,371.262590225916,https://birdeye.so/token/So11111111111111111111111111111111111111112/AnZMM452iEaXqw6rmzL7a1rZnk2892j6YXtJtZF8YnBz?chain=solana,Drafted,a8
2024-07-27 19:19:00 UTC,5015691.572310526,2024-07-27 23:43:00 UTC,23564231.628691163,0 days 04:24:00,369.81022036480755,https://birdeye.so/token/So11111111111111111111111111111111111111112/EDqWajLeWi5Tuf6jGfKE5FE2fX4Jw4KeKWcqZJEUrGLG?chain=solana,DOGFISH,a2
2024-07-27 08:55:00 UTC,3931894.7622327576,2024-07-27 23:53:00 UTC,17795582.913827244,0 days 14:58:00,352.59560567999233,https://birdeye.so/token/So11111111111111111111111111111111111111112/87AiL4zgZFRHNntSLBEdj2yYwheYKdKk18ZvQYuJweWY?chain=solana,Gyatlatians,a2
2024-07-27 11:06:00 UTC,10264703.311400931,2024-07-27 15:03:00 UTC,46306411.39717996,0 days 03:57:00,351.1227455132362,https://birdeye.so/token/So11111111111111111111111111111111111111112/FzdGjFK87MnQ1WEsLip2t5MRy1u7DfAzhSha9PfjoQuo?chain=solana,PEPE BIRD,a7
2024-07-27 13:06:00 UTC,3144792.3075750708,2024-07-27 23:45:00 UTC,13177736.313311119,0 days 10:39:00,319.0335966406757,https://birdeye.so/token/So11111111111111111111111111111111111111112/4gRTvzSbqevak4Ls5rGFEtRAktbpd3AGZxmHmPQmobLG?chain=solana,Dogue,a2
2024-07-27 14:16:00 UTC,3399193.5936499997,2024-07-27 23:45:00 UTC,13177736.313311119,0 days 09:29:00,287.6724273053561,https://birdeye.so/token/So11111111111111111111111111111111111111112/4gRTvzSbqevak4Ls5rGFEtRAktbpd3AGZxmHmPQmobLG?chain=solana,Dogue,a2
2024-07-27 12:32:00 UTC,3450796.3872579182,2024-07-27 21:45:00 UTC,13178239.273078,0 days 09:13:00,281.88979569292206,https://birdeye.so/token/So11111111111111111111111111111111111111112/GAhFBTsSPk8YdSwNNUjK6Sbqrc3zKavN8PmifYYUeF16?chain=solana,"a9dke';si;23fas';g[sn?,12nb>kas",a8
2024-07-27 15:40:00 UTC,4087250.822489315,2024-07-27 23:40:00 UTC,14192098.257030431,0 days 08:00:00,247.22846415348738,https://birdeye.so/token/So11111111111111111111111111111111111111112/FBhhBaR527acDc5ETi1mX3odZQzEuRuQHwM7TG6UnniN?chain=solana,Smoking Chicken Cat,a9
2024-07-27 15:30:00 UTC,2551883.814496112,2024-07-27 16:44:00 UTC,8690917.845856149,0 days 01:14:00,240.56871227784455,https://birdeye.so/token/So11111111111111111111111111111111111111112/8tJ8jdviUFbhisranXbPebChyDzLyVtvmaDew4kJbbgB?chain=solana,Dark Long,a9
2024-07-27 09:52:00 UTC,12721620.015051916,2024-07-27 22:53:00 UTC,42722325.840027675,0 days 13:01:00,235.82457100180358,https://birdeye.so/token/So11111111111111111111111111111111111111112/BUnDA1x1XeqKUGoUhEQiNXrydBvZnnAT8FJddaosKd5g?chain=solana,THE ENIGMA OF 3:33 AM,a1
2024-07-27 19:18:00 UTC,1426779.5366650505,2024-07-27 23:12:00 UTC,4779340.251067827,0 days 03:54:00,234.97398359378218,https://birdeye.so/token/So11111111111111111111111111111111111111112/FFBkiVfgkcvYj5MgXaWfUww1qhnC6WUy3qnf7PzpbNXv?chain=solana,Donalon Trusk,a9
2024-07-27 17:48:00 UTC,8036619.610424243,2024-07-27 22:54:00 UTC,26537572.87517083,0 days 05:06:00,230.208149216732,https://birdeye.so/token/So11111111111111111111111111111111111111112/7EpPkW7MGMw37bJemWdtjRLavdZoVhbekXE5NzcSCeMH?chain=solana,Trumptoshi,a9
